"match","tier"
"569649581","Pro"
"569716737","Pro"
"579132234","Pro"
"580607270","Pro"
"580713548","Pro"
"580795951","Pro"
"588972183","Pro"
"589072947","Pro"
"589157786","Pro"
"590348637","Pro"
"590436483","Pro"
"590518928","Pro"
"591705499","Pro"
"591798786","Pro"
"591890072","Pro"
"593051940","Pro"
"593144800","Pro"
"599472634","Pro"
"599569853","Pro"
"599633031","Pro"
"600841581","Pro"
"600946678","Pro"
"601028596","Pro"
"602248335","Pro"
"602341542","Pro"
"610263617","Pro"
"610363820","Pro"
"610451558","Pro"
"611706372","Pro"
"611805511","Pro"
"613149649","Pro"
"613258812","Pro"
"621041235","Normal"
"621214317","Normal"
"621620590","Normal"
"621624233","High"
"621885923","Normal"
"623172202","High"
"623199714","High"
"623246765","High"
"623384981","Normal"
"623642286","Normal"
"624579175","High"
"624608163","High"
"624642968","High"
"624692548","High"
"624755961","High"
"624816454","Normal"
"625739549","Normal"
"625840949","Normal"
"625935277","Normal"
"626519881","High"
"626684019","High"
"626780627","High"
"626855387","High"
"627040007","High"
"627083336","High"
"627166226","High"
"627616609","High"
"627623750","Normal"
"627677789","Normal"
"627832188","Normal"
"627845961","Normal"
"628111860","High"
"628172689","Normal"
"628202167","High"
"628238411","Normal"
"628328743","Normal"
"628546255","Normal"
"628557042","Normal"
"629067363","High"
"629142053","High"
"634751129","VeryHigh"
"634790888","VeryHigh"
"636257744","VeryHigh"
"636303474","VeryHigh"
"636311751","VeryHigh"
"636342671","VeryHigh"
"636381308","VeryHigh"
"636420810","VeryHigh"
"636469748","Normal"
"636476209","VeryHigh"
"636512456","VeryHigh"
"636585258","VeryHigh"
"637461379","VeryHigh"
"638324033","Normal"
"638374052","Normal"
"638399346","VeryHigh"
"638431876","Normal"
"638444119","VeryHigh"
"638514403","Normal"
"638646888","Normal"
"639655565","VeryHigh"
"639915588","Normal"
"639928171","Normal"
"639943860","VeryHigh"
"639944687","Normal"
"640022519","Normal"
"640050884","High"
"640088992","VeryHigh"
"640183396","VeryHigh"
"641405166","High"
"641717130","Normal"
"641756777","Normal"
"641869130","Normal"
"641876436","High"
"642238139","VeryHigh"
"642864521","Normal"
"643015651","High"
"643051079","VeryHigh"
"643061665","Normal"
"643121928","High"
"643128080","Pro"
"643208148","Normal"
"643216184","Normal"
"643231908","Pro"
"643346528","Normal"
"643387304","Normal"
"643438672","Normal"
"643470370","Normal"
"643511051","VeryHigh"
"643524414","Normal"
"643538237","VeryHigh"
"643571475","Normal"
"643618598","VeryHigh"
"643624058","High"
"643627112","Normal"
"643651688","VeryHigh"
"643680312","VeryHigh"
"643721703","VeryHigh"
"643752615","VeryHigh"
"643792570","VeryHigh"
"643833001","VeryHigh"
"643837106","VeryHigh"
"644374912","High"
"644561255","VeryHigh"
"644617314","High"
"644676572","VeryHigh"
"644725431","Pro"
"644745895","Pro"
"644790017","Pro"
"644837381","Pro"
"644940512","Pro"
"644941370","High"
"644957827","High"
"645037586","Pro"
"645047492","Normal"
"645077087","Normal"
"645093123","High"
"645112787","Normal"
"645138849","VeryHigh"
"645149155","High"
"645149633","Normal"
"645153730","High"
"645174955","High"
"645181933","High"
"645191970","High"
"645197172","High"
"645199327","Normal"
"645212603","VeryHigh"
"645223470","VeryHigh"
"645228608","High"
"645231926","High"
"645231935","VeryHigh"
"645252358","VeryHigh"
"645258275","VeryHigh"
"645260190","High"
"645268274","High"
"645274767","High"
"645282289","High"
"645284166","VeryHigh"
"645285079","VeryHigh"
"645312257","VeryHigh"
"645318558","VeryHigh"
"645319525","VeryHigh"
"645347209","VeryHigh"
"645358352","VeryHigh"
"645396133","High"
"645867950","VeryHigh"
"646049346","VeryHigh"
"646298269","Pro"
"646416200","Pro"
"646501704","Pro"
"647752500","Pro"
"647798202","VeryHigh"
"647826183","Pro"
"647868978","Pro"
"647869043","VeryHigh"
"648005989","Pro"
"648148700","High"
"648170324","High"
"648244534","High"
"648246832","Normal"
"648267400","High"
"648271831","Normal"
"648283764","VeryHigh"
