zone,value
laneshop radiant,0.000868170524319
midlane radiant,0.149727959991
toplane dire,0.150210718429
base1 radiant,0.0845774241228
bottomlane dire,0.0100061454023
void radiant,0.0217737962163
jungle radiant,0.153774124677
secretshop radiant,1.72177220689e-05
base2 dire,9.07241509014e-05
jungle dire,0.0309806419826
pit dire,6.55597878777e-05
void dire,0.00540172918907
bottomlane radiant,0.257857903464
laneshop dire,0.000776784153338
river,0.0295363399891
toplane radiant,0.0808617072563
midlane dire,0.0234730529405
